set_list_id,setlist_title,played_by,played_at,song_title,song_artist,song_youtube_id
514,2018-12-31,OmegaPhone,2018-12-31 23:07:07 -0800,secret,maroon 5,eEw1QqxNWAU
514,2018-12-31,OmegaPhone,2018-12-31 23:04:09 -0800,man from Mars,Artie shaw,cPyWgtY1cM4
514,2018-12-31,OmegaPhone,2018-12-31 23:03:24 -0800,bringing in a brand new year,b.b. king,026UWcK46oM
514,2018-12-31,OmegaPhone,2018-12-31 23:02:59 -0800,like a boss,Amy kucharik & friends,
514,2018-12-31,OmegaPhone,2018-12-31 23:02:13 -0800,happy new year,lighting hopkins,
514,2018-12-31,OmegaPhone,2018-12-31 22:48:54 -0800,grinning in your face,little axe,
514,2018-12-31,OmegaPhone,2018-12-31 22:47:46 -0800,in the dark,nina simone,HmANmf7fXUI
514,2018-12-31,OmegaPhone,2018-12-31 22:47:33 -0800,hound dog,big mama thornton,yoHDrzw-RPg
514,2018-12-31,OmegaPhone,2018-12-31 22:28:37 -0800,Playboy,hot chip,mATrenootCA
514,2018-12-31,OmegaPhone,2018-12-31 22:27:54 -0800,rocks in my bed,allen toussaint and Rhiannon giddens,GOqcSWw3rI8
514,2018-12-31,OmegaPhone,2018-12-31 22:25:10 -0800,born under a bad sign,Albert king,2Py37G9qsfY
514,2018-12-31,OmegaPhone,2018-12-31 22:24:49 -0800,voodoo,Allen stone,xXt1G8gpvPY
514,2018-12-31,OmegaPhone,2018-12-31 22:24:31 -0800,she just wants to dance,keb' mo',WVx7InnsH8o
514,2018-12-31,OmegaPhone,2018-12-31 22:23:15 -0800,'tain't what you do,Jimmie lunceford,1SkoD2CIakQ
514,2018-12-31,OmegaPhone,2018-12-31 22:11:39 -0800,john the revelator,gov't mule,LB8SOCtSJWs
514,2018-12-31,OmegaPhone,2018-12-31 22:10:52 -0800,St. James infirmary,Lou rawls,PFcmcH1DN2k
514,2018-12-31,OmegaPhone,2018-12-31 22:10:31 -0800,shiny stockings,count Basie,MV5apkGSkfM
514,2018-12-31,OmegaPhone,2018-12-31 22:09:55 -0800,drop me off in Harlem,Duke Ellington,VJBkp40KVI0
514,2018-12-31,OmegaPhone,2018-12-31 21:51:20 -0800,cheatin' man,Anthony david,Ew1xrZGOOr0
514,2018-12-31,OmegaPhone,2018-12-31 21:50:00 -0800,human,rag'n'bone man,L3wKzyIN1yk
514,2018-12-31,OmegaPhone,2018-12-31 21:49:41 -0800,down,Marian hill,DpMfP6qUSBo
514,2018-12-31,OmegaPhone,2018-12-31 21:37:42 -0800,callin' u,outlandish,wUNCkXcwGRA
514,2018-12-31,OmegaPhone,2018-12-31 21:32:33 -0800,222,Grace Potter & the notcurnals,ZPEE33a8ufA
514,2018-12-31,OmegaPhone,2018-12-31 21:32:03 -0800,lie to me,Jonny lang,3tigVYfHVmQ
514,2018-12-31,OmegaPhone,2018-12-31 21:31:54 -0800,like to me,Jonny lang,
514,2018-12-31,OmegaPhone,2018-12-31 21:24:09 -0800,baby girl,Laverne baker,
514,2018-12-31,OmegaPhone,2018-12-31 21:21:29 -0800,tangled up,Caro emerald,cyNwWTnCaEA
514,2018-12-31,OmegaPhone,2018-12-31 21:16:14 -0800,black rattler,Carl leyland,bnCklVD_XlY
514,2018-12-31,OmegaPhone,2018-12-31 21:11:40 -0800,you don't have to go,brother yusef,OIRjO9c9KIo
514,2018-12-31,OmegaPhone,2018-12-31 21:08:44 -0800,I got an uncle I Harlem,hot lips page,
514,2018-12-31,OmegaPhone,2018-12-31 21:04:41 -0800,on revival day,Lavern baker,FNbz9MoVhVM
514,2018-12-31,OmegaPhone,2018-12-31 21:03:41 -0800,what kind of woman is this,buddy guy,0zhV99Bvrgg
514,2018-12-31,OmegaPhone,2018-12-31 21:03:09 -0800,Pablo's blues,gare du nord,cNIFFr_LjGY
514,2018-12-31,OmegaPhone,2018-12-31 21:02:52 -0800,calling the maker,Aimee allen,49ahqMTIcJM
513,2018-12-30,OmegaWork,2018-12-30 20:20:16 -0800,a good night,john legend ft. bloodpop,KQRq9FZqNj0
513,2018-12-30,OmegaWork,2018-12-30 20:12:58 -0800,starving,"hailee steinfeld, grey, zedd",xwjwCFZpdns
513,2018-12-30,OmegaWork,2018-12-30 19:58:04 -0800,bang bang,melanie fiona,F6HlYfbaWd0
513,2018-12-30,OmegaWork,2018-12-30 19:54:50 -0800,liquid lunch,caro emerald,EUV2GPas4aY
513,2018-12-30,OmegaWork,2018-12-30 19:53:46 -0800,morning light,rachel goodrich,
513,2018-12-30,OmegaWork,2018-12-30 16:28:04 -0800,lost boy,ruth b.,58TBZnvyGwQ
513,2018-12-30,OmegaWork,2018-12-30 15:10:37 -0800,electric,alina baraz ft. khalid,uwWrSR8SFEc
513,2018-12-30,OmegaWork,2018-12-30 15:04:56 -0800,no angel,birdy,wemAsKJqD_Y
513,2018-12-30,OmegaWork,2018-12-30 14:59:11 -0800,mixed signals,Ruth B.,8vALk08nmyU
513,2018-12-30,OmegaWork,2018-12-30 14:51:02 -0800,only with you,CYN,0xCggNCs2kU
513,2018-12-30,OmegaWork,2018-12-30 14:46:20 -0800,broken,lund,pJqVTlHYVlc
513,2018-12-30,OmegaWork,2018-12-30 14:43:02 -0800,eyes closed,halsey,e_aCcG6SjH4
513,2018-12-30,OmegaWork,2018-12-30 14:40:30 -0800,hope,tim legend ft. br/\ve,HoT1cvWDBjE
512,2018-12-27,OmegaWork,2018-12-27 21:53:36 -0800,i'll still have me,CYN,-MZgtCp8mtc
512,2018-12-27,OmegaWork,2018-12-27 20:52:21 -0800,tee shirt,birdy,oM60hSMqIkI
512,2018-12-27,OmegaWork,2018-12-27 20:48:04 -0800,idon'twanttobeyouanymore,billie eilish,
512,2018-12-27,OmegaWork,2018-12-27 20:40:10 -0800,depression & obsession,xxxtentacion,yas2vpTPWWY
512,2018-12-27,OmegaWork,2018-12-27 20:37:43 -0800,the night we met,Lord Huron,KtlgYxa6BMU
512,2018-12-27,OmegaWork,2018-12-27 20:28:21 -0800,a drop in the ocean,ron pope,7hZpo1ZJDxM
