set_list_id,setlist_title,played_by,played_at,song_title,song_artist,song_youtube_id
557,2019-01-31,OmegaWork,2019-01-31 21:27:04 -0800,sing,the dresden dolls,fTWCbPCaqWA
557,2019-01-31,OmegaWork,2019-01-31 21:22:53 -0800,treat me right,grace potter & the nocturnals,
557,2019-01-31,OmegaWork,2019-01-31 18:27:00 -0800,lord i just can't keep from crying,danielle nicole,Z5Qxkbc50Aw
557,2019-01-31,OmegaWork,2019-01-31 18:24:33 -0800,vor i vaglaskogi,kaleo,Da5qQD_RpEQ
557,2019-01-31,OmegaWork,2019-01-31 18:19:44 -0800,i don't want you on my mind,bill withers,pGL8_-ZOJKM
557,2019-01-31,OmegaWork,2019-01-31 18:08:29 -0800,these blues are mine,tab benoit,Ac6Yx3OOJ5o
557,2019-01-31,OmegaWork,2019-01-31 17:51:32 -0800,everybody needs lovin,toots & the maytals,yjg6flu3zuc
557,2019-01-31,OmegaWork,2019-01-31 17:10:03 -0800,kiss you slow,andy grammer,-5msthGUqKQ
557,2019-01-31,OmegaWork,2019-01-31 16:54:39 -0800,lonely man,big jack johnson & the oilers,oJyaDYJxEpc
557,2019-01-31,OmegaWork,2019-01-31 16:30:46 -0800,here comes the sun,beatles,xUNqsfFUwhY
557,2019-01-31,OmegaWork,2019-01-31 16:22:36 -0800,crazy,melanie martinez,gKcyhZPYOQU
557,2019-01-31,OmegaWork,2019-01-31 16:14:35 -0800,you you (wild honey pie buzzsession),odetta hartman,e9VM4ZWmRRI
557,2019-01-31,OmegaWork,2019-01-31 16:10:11 -0800,this circle,paramore,8VPILvpVrY4
557,2019-01-31,OmegaWork,2019-01-31 16:10:02 -0800,Ain't too proud to beg,The Temptations,3s0TkufXA38
556,2019-01-30,OmegaWork,2019-01-30 16:44:22 -0800,hurricane,the band of heathens,75X4bWf5fIs
556,2019-01-30,OmegaWork,2019-01-30 16:04:28 -0800,let's get together,beth hart,W37pnvMZWF8
556,2019-01-30,OmegaWork,2019-01-30 16:02:48 -0800,i hear them all,old crow medicine show,ug7IgB8MfWE
556,2019-01-30,OmegaWork,2019-01-30 15:54:48 -0800,crawling the walls,dave gross,YCZvSFS3v_A
556,2019-01-30,OmegaWork,2019-01-30 15:54:29 -0800,stay,the coasts,CFHq4mYzc9c
556,2019-01-30,OmegaWork,2019-01-30 15:43:06 -0800,drop it like it's hot,snoop dogg,y1MQ95FhgUE
556,2019-01-30,OmegaWork,2019-01-30 15:22:40 -0800,my house,flo rida,
556,2019-01-30,OmegaWork,2019-01-30 15:20:04 -0800,soul on fire,lavern baker,CUINUCuLu3c
556,2019-01-30,OmegaWork,2019-01-30 15:14:59 -0800,opera singer,cake,d0XIYcd1DBI
556,2019-01-30,OmegaWork,2019-01-30 15:09:52 -0800,fog,trampled underfoot,7EBW1OZJ1As
556,2019-01-30,OmegaWork,2019-01-30 15:06:20 -0800,all shook up,elvis presley,3rQEbQJx5Bo
556,2019-01-30,OmegaWork,2019-01-30 15:03:35 -0800,riviera life,caro emerald,6sQGQEmZS10
556,2019-01-30,OmegaWork,2019-01-30 15:00:23 -0800,woman up,meghan trainor,e7uzfGYL8RM
556,2019-01-30,OmegaWork,2019-01-30 15:00:12 -0800,be my baby,ronettes,ZV5tgZlTEkQ
556,2019-01-30,OmegaWork,2019-01-30 15:00:00 -0800,wild honey,hugh laurie,KbLcUs3qzSs
556,2019-01-30,OmegaWork,2019-01-30 14:50:06 -0800,sound of silence,simon & garfunkle,HjwV2Li_jn0
556,2019-01-30,OmegaWork,2019-01-30 14:45:38 -0800,everything's okay,lenka,HkY_BksDUxo
