set_list_id,setlist_title,played_by,played_at,song_title,song_artist,song_youtube_id
154,3_scratch,Asmer,2016-01-21 14:51:13 -0800,You're Gonna Miss Me,The Band Of Heathens,m-6EAqyZJgw
154,3_scratch,Asmer,2015-04-21 16:37:31 -0700,No Surprise,James Yuill,3l0p1d01P9s
153,2_scratch,Omega,2016-01-21 14:52:54 -0800,Willie the pimp,frank zappa,eKYGaEafv4g
153,2_scratch,OmegaWork,2015-05-04 11:55:41 -0700,i do miracles,vanessa williams,vwtLGFTrwLE
153,2_scratch,OmegaWork,2015-04-22 14:06:50 -0700,fingers,pink,DuADceDWBWE
220,2015-12-30,OmegaWork,2015-12-30 13:51:56 -0800,Sixteen Candles,The Crests,_6jn1XtM62k
220,2015-12-30,OmegaWork,2015-12-30 13:47:45 -0800,Slow Dance Blues,Jimmie Vaughan,8DJmgaQOous
220,2015-12-30,OmegaWork,2015-12-30 13:41:31 -0800,Mornings Come And Go (Feat. Marian Call),MC Frontalot,CpceBDt2RBU
220,2015-12-30,OmegaWork,2015-12-30 13:37:27 -0800,Return Of The Lion,Harry Gregson-Williams,ISLxIyMIRt8
220,2015-12-30,OmegaWork,2015-12-30 13:33:32 -0800,You Know What My Body Needs, Lonnie Brooks,1mSmRH2_yz0
220,2015-12-30,OmegaWork,2015-12-30 12:34:12 -0800,Shout ,The Isley Brothers,nEjLFpU2pJ4
220,2015-12-30,OmegaWork,2015-12-30 12:23:08 -0800,Hombre A Hombre, Gotan Project,vCcKWOVC620
220,2015-12-30,OmegaWork,2015-12-30 12:20:56 -0800,(What A) Wonderful World,Sam Cooke,jNO72aCnVr0
220,2015-12-30,OmegaWork,2015-12-30 11:08:09 -0800,Fever,Elvis Presley,OSeyfWTLnWg
220,2015-12-30,OmegaWork,2015-12-30 11:04:48 -0800,Hell's Kitchen,Matt King,ElZd5No_9FU
220,2015-12-30,OmegaWork,2015-12-30 10:59:15 -0800,California Dreamin',The Mamas & The Papas,_Ugtj5ehyKg
220,2015-12-30,OmegaWork,2015-12-30 10:58:24 -0800,Survivor,Destiny's Child,Wmc8bQoL-J0
220,2015-12-30,OmegaWork,2015-12-30 08:47:00 -0800,Little Bitty Pretty One,Thurston Harris & The Sharps,Hb7nrilGYns
220,2015-12-30,OmegaWork,2015-12-30 08:43:41 -0800,The Drowsy Surgeon,Joe Fletcher & the Wrong Reasons,Y7ivUM-ReYI
220,2015-12-30,OmegaWork,2015-12-30 08:40:07 -0800,Riot,Three Days Grace,ixZDTiXiHsc
220,2015-12-30,OmegaWork,2015-12-30 08:39:35 -0800,Begin The Beguine,Artie Shaw & His Orchestra,Cj3sGyG_esc
220,2015-12-30,OmegaWork,2015-12-30 08:32:23 -0800,Shadows On The Road,Tech N9ne,qNnsrlvpAvI
220,2015-12-30,OmegaWork,2015-12-30 08:20:11 -0800,Summertime,Jerry Kruger & Her Orchestra,J9JctRqcDso
220,2015-12-30,OmegaWork,2015-12-30 08:17:10 -0800,Legs,ZZ Top,eUDcTLaWJuo
220,2015-12-30,OmegaWork,2015-12-30 08:14:30 -0800,Old Number 7,The Devil Makes Three,vedgTokXj04
220,2015-12-30,OmegaWork,2015-12-30 07:46:52 -0800,Spark,Fitz & The Tantrums,nGBLlFMn9Xc
220,2015-12-30,OmegaWork,2015-12-30 07:46:20 -0800,since i don't have you,the skyliners,ngZh6ZSRoYg
220,2015-12-30,OmegaWork,2015-12-30 07:43:42 -0800,Lovalot,M.I.A.,yvMkI2jvGFE
220,2015-12-30,OmegaWork,2015-12-30 07:37:41 -0800,Ain't No Other Man,Christina Aguilera,8x7Ta89QLo4
220,2015-12-30,OmegaWork,2015-12-30 07:32:42 -0800,Cotton,Sam Baker,cgjVGlwJHAw
220,2015-12-30,OmegaWork,2015-12-30 07:30:40 -0800,The Rains Came,Jimmie Vaughan,qWrDSW4uxJk
220,2015-12-30,OmegaWork,2015-12-30 07:27:23 -0800,Living In A World Without Her,The Pogues,F7M5f-9OFOo
220,2015-12-30,OmegaWork,2015-12-30 07:27:04 -0800,When My First Wife Quit Me,Jimmy Johnson,P412ypfikHg
220,2015-12-30,OmegaWork,2015-12-30 07:20:08 -0800,The Tides,Steel Petals,zQrZ9trUJ08
220,2015-12-30,OmegaWork,2015-12-30 07:16:27 -0800,Just Dance,Lady Gaga,2Abk1jAONjw
220,2015-12-30,OmegaWork,2015-12-30 07:14:09 -0800,La Rondine,Giacomo Puccini,5Ed33MgGP0U
219,2015-12-29,Omega2,2015-12-29 13:26:58 -0800,Walking On Air,Kerli,wXMeZwO2qZ0
219,2015-12-29,OmegaWork,2015-12-29 12:47:36 -0800,Bang Bang,Monophonics,xyWHRC8A_uU
219,2015-12-29,OmegaWork,2015-12-29 12:30:03 -0800,Bartholomew,The Silent Comedy,aoP5NGLsWR0
