set_list_id,setlist_title,played_by,played_at,song_title,song_artist,song_youtube_id
414,2017-12-21,entonfire,2017-12-21 10:46:40 -0800,Ben Franklin's Song,The Decemberists,rVmVVkbx3jE
413,2017-12-01,ent|mobile,2017-12-01 09:54:52 -0800,Black and Tan Fantasy,Louis Armstrong & Duke Ellington,SV1wpq_ZTgk
413,2017-12-01,Omega,2017-12-01 09:08:01 -0800,just a cloud away,Pharrell Williams,Vd1kCoaU2Yw
413,2017-12-01,Omega,2017-12-01 08:38:05 -0800,the best day,atmosphere,oMBMgxUw6YQ
413,2017-12-01,Nimrodblack,2017-12-01 06:31:22 -0800,Havana (feat. Young Thug),Camila Cabello,BQ0mxQXmLsk
413,2017-12-01,NotHanz,2017-12-01 06:30:47 -0800,Something For Christmas,Caro Emerald,ngNk6gKezWE
412,2017-11-29,entonfire,2017-11-29 16:38:49 -0800,"Setting Sail, Coming Home (End Theme)",Darren Korb,GDflVhOpS4E
411,2017-11-14,Omega,2017-11-14 12:46:51 -0800,problem,Ariana grande,iS1g8G_njx8
411,2017-11-14,OmegaPhone,2017-11-14 10:28:26 -0800,nothing's wrong,echosmith,FW-9kIVBXUs
411,2017-11-14,OmegaPhone,2017-11-14 10:28:03 -0800,counting stars,onerepublic,hT_nvWreIhg
411,2017-11-14,OmegaPhone,2017-11-14 09:25:07 -0800,brokenhearted,Karmin,s8cbak34DR0
411,2017-11-14,OmegaPhone,2017-11-14 09:20:19 -0800,how long,Charlie puth,CwfoyVa980U
411,2017-11-14,Omega,2017-11-14 09:17:33 -0800,better when I'm dancin',Megan Trainor,
411,2017-11-14,Omega,2017-11-14 09:04:41 -0800,I love me,lunchmoney lewis & Meghan Trainor,
411,2017-11-14,Omega,2017-11-14 08:59:02 -0800,complicated,Avril Lavigne,5NPBIwQyPWE
411,2017-11-14,Omega,2017-11-14 08:55:12 -0800,brother in the night,the weeks,kGqvJiQpk2k
411,2017-11-14,Omega,2017-11-14 08:46:49 -0800,shake it off,Taylor Swift,nfWlot6h_JM
411,2017-11-14,Omega,2017-11-14 08:46:14 -0800,born for greatness,papa roach,8i8uLP71U8Q
410,2017-10-29,entonfire,2017-10-29 12:42:06 -0700,Sedona (Live from SXSW 2015),Houndmouth,28zHcSPNQJc
410,2017-10-29,entonfire,2017-10-29 12:31:06 -0700,The Stable Song,Gregory Alan Isakov,h8ljNixuCwc
410,2017-10-29,entonfire,2017-10-29 12:30:13 -0700,Wild Fire,Laura Marling,0EUdZFcq-QE
409,2017-10-20,entonfire,2017-10-20 16:57:39 -0700,Driftin',GRiZ,CyeeZFWC7t4
409,2017-10-20,entonfire,2017-10-20 10:21:29 -0700,Just Ask,Lake Street Dive,nQQD2pQw3oA
409,2017-10-20,entonfire,2017-10-20 10:21:11 -0700,Where Is Thunder Road?,Walker Lukens,ynw2ABNsdoY
408,2017-10-15,ent|mobile,2017-10-15 11:55:22 -0700,Psychic City,YACHT,MI6xNf4tMcs
407,2017-10-12,zerzhul,2017-10-12 12:22:20 -0700,All About That Bass,Postmodern Jukebox,aLnZ1NQm2uk
407,2017-10-12,zerzhul,2017-10-12 12:17:20 -0700,Seven Nation Army,Postmodern Jukebox,sB6HY8r983c
407,2017-10-12,zerzhul,2017-10-12 12:09:52 -0700,Oops!... I Did It Again,Postmodern Jukebox,g_HN50TLuaI
407,2017-10-12,zerzhul,2017-10-12 12:04:42 -0700,Black Hole Sun,Postmodern Jukebox,R6RD6mjiIZE
407,2017-10-12,zerzhul,2017-10-12 11:59:50 -0700,Creep,Postmodern Jukebox,m3lF2qEA2cw
407,2017-10-12,zerzhul,2017-10-12 08:57:54 -0700,Mad World,Postmodern Jukebox,aVevvbFNKiY
406,2017-10-09,entonfire,2017-10-09 18:36:45 -0700,Clint Eastwood,Trey Anastasio,7lIdGq44HoE
406,2017-10-09,entonfire,2017-10-09 17:58:26 -0700,I Never,Rilo Kiley,483ISyyey50
405,2017-09-27,Omega,2017-09-27 11:25:48 -0700,boom boom pow,black eyed peas,
404,2017-09-21,entonfire,2017-09-21 15:20:58 -0700,Happy,"Jenny Lewis, the Watson Twins",crUK6jSQSw8
404,2017-09-21,entonfire,2017-09-21 15:20:24 -0700,The Big Guns,"Jenny Lewis, the Watson Twins",VV6BYh0V38E
404,2017-09-21,entonfire,2017-09-21 15:19:13 -0700,Run Devil Run,"Jenny Lewis, the Watson Twins",3kllyPnkLxY
403,2017-09-18,Omega,2017-09-18 15:46:51 -0700,sorry not sorry,Demi Lovato,-MsvER1dpjM
403,2017-09-18,Omega,2017-09-18 15:46:34 -0700,dangerous woman,Ariana grande,9WbCfHutDSE
403,2017-09-18,Omega,2017-09-18 13:40:50 -0700,hey soul sister,train,kVpv8-5XWOI
403,2017-09-18,Omega,2017-09-18 13:33:44 -0700,titanium,David Guetta,JRfuAukYTKg
403,2017-09-18,Omega,2017-09-18 13:28:44 -0700,lips are movin,Meghan Trainor,qDc_5zpBj7s
403,2017-09-18,Omega,2017-09-18 13:22:44 -0700,forever,Andy Grammer,4xySR73zcuE
403,2017-09-18,Omega,2017-09-18 13:20:08 -0700,when can I see you again,owl city,qM1YMeDsc-M
403,2017-09-18,Omega,2017-09-18 13:12:02 -0700,22,Taylor Swift,AgFeZr5ptV8
403,2017-09-18,Omega,2017-09-18 13:09:20 -0700,riptide,Vance Joy,uJ_1HMAGb4k
402,2017-09-15,entonfire,2017-09-15 13:17:49 -0700,We Will Become Silhouettes,The Shins,Ns2t9SSSz1w
401,2017-09-14,Omega,2017-09-14 18:17:43 -0700,good time,owl city and Carly rae jepsen,H7HmzwI67ec
401,2017-09-14,Omega,2017-09-14 18:09:53 -0700,cool kids,echosmith,SSCzDykng4g
401,2017-09-14,Omega,2017-09-14 18:09:27 -0700,cups,Anna Kendrick,cmSbXsFE3l8
401,2017-09-14,Omega,2017-09-14 18:09:12 -0700,sugar,maroon 5,09R8_2nJtjg
401,2017-09-14,Omega,2017-09-14 18:08:46 -0700,good to be alive,Andy Grammer,YDu93pdyBDE
401,2017-09-14,Omega,2017-09-14 18:07:43 -0700,Himalaya,Jennifer rostock,6CVnYxeJtC0
401,2017-09-14,Omega,2017-09-14 18:06:42 -0700,ahead of myself,x ambassadors,z-Jsc8TmcAU
401,2017-09-14,Omega,2017-09-14 18:06:07 -0700,Giants,lights,8Wljx0Cz9-c
401,2017-09-14,Omega,2017-09-14 18:05:33 -0700,bang bang,"Ariana grande, Jessie j, Nikki Minaj",
401,2017-09-14,Omega,2017-09-14 18:04:34 -0700,royals,lorde,nlcIKh6sBtc
401,2017-09-14,Omega,2017-09-14 18:03:58 -0700,girls chase boys,Ingrid michaelson,5GBT37_yyzY
401,2017-09-14,Omega,2017-09-14 18:03:23 -0700,call me maybe,carly rae jepsen,fWNaR-rxAic
401,2017-09-14,Omega,2017-09-14 18:02:26 -0700,one night town,fifth harmony,dQhaEyeOPxA
401,2017-09-14,Omega,2017-09-14 17:10:30 -0700,somebody,Natalie la rose,8zqdo_Umd5c
401,2017-09-14,Omega,2017-09-14 17:07:58 -0700,break free,Ariana grande,L8eRzOYhLuw
401,2017-09-14,Omega,2017-09-14 17:01:33 -0700,boom clap,Charli xcx,AOPMlIIg_38
401,2017-09-14,Omega,2017-09-14 17:01:06 -0700,classic,mkto,4Ba_qTPA4Ds
401,2017-09-14,Omega,2017-09-14 17:00:26 -0700,my house,flo rida,
401,2017-09-14,Omega,2017-09-14 16:50:30 -0700,that's what I like,Bruno Mars,PMivT7MJ41M
401,2017-09-14,Omega,2017-09-14 16:45:04 -0700,beating me up,Rachel Platten,Eu4m29uu5xU
401,2017-09-14,Omega,2017-09-14 16:44:28 -0700,me and my broken heart,rixton,7JJfJgyHYwU
401,2017-09-14,Omega,2017-09-14 16:43:58 -0700,woman up,Meghan Trainor,ZDtB8-VmRS8
401,2017-09-14,Omega,2017-09-14 16:43:40 -0700,honey I'm good,Andy Grammer,Go7gn6dugu0
401,2017-09-14,Omega,2017-09-14 16:43:09 -0700,mean,Taylor Swift,jYa1eI1hpDE
401,2017-09-14,Omega,2017-09-14 16:42:58 -0700,all night,icona pop,a4w9iUTiBrw
401,2017-09-14,Omega,2017-09-14 16:42:46 -0700,worth it,fifth harmony,
401,2017-09-14,Omega,2017-09-14 16:42:32 -0700,how far I'll go,Alessia Cara,ZNra8eK0K6k
401,2017-09-14,Omega,2017-09-14 16:42:16 -0700,stand by you,Rachel Platten,bwB9EMpW8eY
400,2017-09-13,OmegaPhone,2017-09-13 12:19:34 -0700,closer (r3hab remix),the Chainsmokers ft. Halsey,iDuNcE44ICY
400,2017-09-13,OmegaPhone,2017-09-13 12:08:05 -0700,cool kids,echosmith,SSCzDykng4g
400,2017-09-13,OmegaPhone,2017-09-13 12:01:03 -0700,lone ranger,Rachel platten,u7EHeVJ5f1w
