set_list_id,setlist_title,played_by,played_at,song_title,song_artist,song_youtube_id
128,2014-11-25,Sammich,2014-11-25 19:08:10 -0800,Bring It Here,Wild Sugar,M7II1SB6TAI
128,2014-11-25,Sammich,2014-11-25 18:38:27 -0800,Down and Out In New York City,Gov't Mule,aspYO-HOack
128,2014-11-25,Sammich,2014-11-25 18:15:15 -0800,Write me a few of your lines,Fred McDowell,4emSqXP17zM
128,2014-11-25,Sammich,2014-11-25 17:28:02 -0800,Space Truckin,Deep Purple,hHOrpFeXUao
128,2014-11-25,Sammich,2014-11-25 17:25:57 -0800,Fadingna Kouma,Super Djata Band,OmP6pY_79Zw
127,2014-11-19,Omegatron,2014-11-19 18:18:13 -0800,drink of you,Jamar rogers,LBBzZXuluic
127,2014-11-19,Omega,2014-11-19 16:12:08 -0800,jockey full of bourbon,Joe bonamassa,v8lOSERcJFE
126,2014-11-17,Omega,2014-11-17 18:02:35 -0800,paint the sky with stars,enya,5MytFKimjkA
125,2014-11-10,Omega,2014-11-10 11:53:54 -0800,you may be right,billy joel,aoyAg75PsTA
125,2014-11-10,Sammich,2014-11-10 04:59:45 -0800,Doin' Alright ,CunninLynguists,jTyPHVPAq7c
124,2014-11-06,Omega,2014-11-06 15:02:02 -0800,"sugar, sugar",archies,h9nE2spOw_o
124,2014-11-06,Omega,2014-11-06 14:58:02 -0800,I kissed a girl,Katy Perry,tAp9BKosZXs
124,2014-11-06,Omega,2014-11-06 14:55:30 -0800,one more night,maroon 5,fwK7ggA3-bU
123,2014-11-01,NotHanz|phone,2014-11-01 09:50:11 -0700,gangsta of love,johnny guitar watson,
122,2014-10-28,Omegatron,2014-10-28 20:01:21 -0700,ghost,mystery skulls,YlEb3L1PIco
121,2014-10-13,Sammich,2014-10-13 12:08:55 -0700,For Love (I Come Your Friend),George Duke,fwOLQs6xOY0
120,2014-10-07,NotHanz,2014-10-07 14:09:01 -0700,Get Outa Town Blues,Brother Yusef,
119,2014-10-06,Omega,2014-10-06 10:13:37 -0700,I shot the sheriff,Bob Marley,2XiYUYcpsT4
119,2014-10-06,Omega,2014-10-06 10:12:56 -0700,overreacting,brad sucks,jOWAs65u5MQ
119,2014-10-06,Omega,2014-10-06 10:12:28 -0700,never go back,grace potter and the nocturnals,MA_ode55DFA
119,2014-10-06,Omega,2014-10-06 10:12:00 -0700,virus,kmfdm,e0QN4m-BKJg
118,2014-10-05,Omega,2014-10-05 11:05:25 -0700,people are strange,the doors,ZRAr354usf8
117,2014-10-04,Sammich,2014-10-04 22:59:07 -0700,Liquid Spirit,Gregory Porter (20syl Remix),V34DvO5RdkE
116,2014-09-12,Omegatron,2014-09-12 17:14:37 -0700,the way she moves,chris rea,P-7AXziqyeo
116,2014-09-12,Omegatron,2014-09-12 17:13:51 -0700,bust a move,young MC,xy4FXhkm6Nw
116,2014-09-12,Omegatron,2014-09-12 17:13:49 -0700,bbust a move,young MC,
115,2014-09-08,Omega,2014-09-08 10:37:59 -0700,down in mexico,the coasters,Kahp_kmOFzQ
115,2014-09-08,Omega,2014-09-08 10:16:06 -0700,maid with the flaxen hair,Richard Stoltzman and the Slovak Radio Symphony Orchestra,gK9M1QRQ2PI
115,2014-09-08,Sammich,2014-09-08 10:04:56 -0700,girl at the rock show,blink 1182,z7hhDINyBP0
